trial_number,is_choice_alternative_1,reward_alternative_1,reward_alternative_2
0, true,1,0
1, false,1,0
2, false,0,0
3, true,0,0
4, false,0,0
5, false,0,0
6, false,0,0
7, true,0,0
8, true,0,0
9, true,0,0
10, false,0,0
11, false,0,0
12, false,1,0
13, false,1,0
14, false,0,0
15, true,0,0
16, true,0,0
17, true,0,0
18, true,0,0
19, true,0,0
20, false,0,0
21, false,0,0
22, false,1,0
23, false,0,0
24, false,0,0
25, false,0,0
26, true,0,0
27, false,0,0
28, false,1,0
29, true,1,0
30, true,0,1
31, true,0,0
32, false,0,0
33, false,0,0
34, true,0,0
35, false,0,0
36, false,0,0
37, false,0,0
38, false,1,0
39, false,0,0
40, false,0,0
41, true,1,0
42, true,0,0
43, true,0,0
44, true,1,0
45, true,0,0
46, true,1,0
47, true,0,1
48, true,0,1
49, true,0,0
50, true,1,0
51, true,1,1
52, true,0,1
53, false,0,0
54, false,0,0
55, false,0,0
56, false,1,0
57, false,0,0
58, false,1,0
59, false,1,0
60, false,0,1
61, false,0,1
62, false,1,0
63, false,0,0
64, true,0,0
65, true,0,0
66, true,1,0
67, true,0,1
68, true,1,0
69, true,1,1
70, true,0,1
71, true,1,0
72, true,0,1
73, true,0,0
74, true,1,0
75, true,0,1
76, false,0,0
77, false,0,0
78, false,0,0
79, false,0,0
80, false,0,0
81, false,0,0
82, false,1,0
83, false,0,0
84, false,1,0
85, false,1,1
86, false,0,1
87, false,0,0
88, false,0,0
89, false,0,1
90, true,0,1
91, false,0,1
92, true,0,1
93, false,0,1
94, true,0,1
95, false,0,1
96, true,0,1
97, false,0,1
98, true,0,1
99, false,0,1
