trial_number,is_choice_alternative_1,reward_alternative_1,reward_alternative_2
0, false,1,0
1, false,1,0
2, true,0,0
3, false,0,0
4, false,0,0
5, false,0,0
6, true,0,0
7, false,0,0
8, false,0,0
9, false,0,0
10, false,0,0
11, false,0,0
12, true,1,0
13, true,1,0
14, true,0,0
15, false,0,0
16, false,0,0
17, false,0,0
18, false,0,0
19, false,0,0
20, true,0,0
21, false,0,0
22, false,1,0
23, false,0,0
24, false,0,0
25, true,0,0
26, false,0,0
27, false,0,0
28, false,1,0
29, false,1,0
30, false,0,1
31, false,0,0
32, false,0,0
33, false,0,0
34, true,0,0
35, false,0,0
36, false,0,0
37, true,0,0
38, true,1,0
39, true,0,0
40, false,0,0
41, false,1,0
42, false,0,0
43, false,0,0
44, false,1,0
45, true,0,0
46, false,1,0
47, false,0,1
48, false,0,1
49, false,0,0
50, false,1,0
51, true,1,1
52, true,0,1
53, false,0,0
54, false,0,0
55, false,0,0
56, false,1,0
57, true,0,0
58, false,1,0
59, true,1,0
60, true,0,1
61, false,0,1
62, false,1,0
63, false,0,0
64, false,0,0
65, false,0,0
66, true,1,0
67, true,0,1
68, false,1,0
69, false,1,1
70, false,0,1
71, false,1,0
72, false,0,1
73, false,0,0
74, false,1,0
75, true,0,1
76, false,0,0
77, true,0,0
78, false,0,0
79, false,0,0
80, false,0,0
81, false,0,0
82, true,1,0
83, true,0,0
84, false,1,0
85, true,1,1
86, true,0,1
87, false,0,0
88, false,0,0
89, true,0,1
90, true,0,1
91, false,0,1
92, false,0,1
93, false,0,1
94, false,0,1
95, false,0,1
96, false,0,1
97, false,0,1
98, false,0,1
99, false,0,1
